segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1075,I-75,I-75,363.1,110.9,4.74,16.77,15.72,0.0016,10.6,-2.07,-4.14,0.627,carbonate,37699,23.9,9010,0.62,37.3,2,0,2,0,0.012899774774774775,0.1501,Low
1076,I-75,I-75,364.6,70.2,3.76,9.98,12.0,-0.0014,10.8,-2.16,-4.32,0.682,carbonate,43086,22.8,9823,0.65,31.8,2,0,2,0,0.0,0.1326,Low
1077,I-75,I-75,365.7,73.8,3.64,9.56,11.28,0.013,11.0,-3.86,-7.72,0.616,carbonate,42209,23.6,9961,1.16,38.4,2,0,2,0,0.0033333333333333335,0.1573,Low
1078,I-75,I-75,344.0,59.7,2.41,4.87,7.49,0.0033,10.9,-1.11,-2.22,0.641,carbonate,41854,25.8,10798,0.33,35.9,2,0,2,0,0.0,0.1083,Low
1079,I-75,I-75,340.9,68.8,3.33,13.24,10.11,0.0043,11.0,-2.81,-5.62,0.652,carbonate,42665,21.5,9172,0.84,34.8,2,0,2,0,0.0,0.1361,Low
1080,I-75,I-75,347.0,68.8,4.3,13.24,13.72,-0.0088,10.5,-3.7,-7.4,0.656,carbonate,39771,20.5,8153,1.11,34.4,2,0,2,0,0.0,0.1525,Low
1081,I-75,I-75,350.8,104.6,5.86,15.31,18.85,-0.0068,10.8,-3.17,-6.34,0.643,carbonate,42648,20.2,8614,0.95,35.7,2,0,2,0,0.0,0.1701,Low
1082,I-75,I-75,330.6,120.7,5.37,15.31,17.04,-0.0085,10.9,-3.91,-7.82,0.693,carbonate,43737,20.4,8922,1.17,30.7,2,0,2,0,0.0,0.1753,Low
1083,I-75,I-75,311.2,61.2,3.36,7.97,10.66,-0.0018,10.8,0.89,1.78,0.716,carbonate,45643,21.8,9950,0.27,28.4,2,0,2,0,0.0,0.1119,Low
1084,I-75,I-75,302.7,84.8,4.29,9.18,12.75,0.0105,10.9,-1.97,-3.94,0.656,carbonate,42874,22.7,9732,0.59,34.4,2,0,2,0,0.0,0.1376,Low
1085,I-75,I-75,275.6,90.7,3.3,9.18,10.45,-0.0082,10.9,-2.34,-4.68,0.674,carbonate,42663,22.6,9641,0.7,32.6,2,0,0,0,0.0,0.1336,Low
1086,I-75,I-75,266.1,54.1,3.12,9.59,9.94,-0.0074,11.0,-0.91,-1.82,0.647,carbonate,43348,23.7,10273,0.27,35.3,2,0,0,0,0.0,0.1117,Low
1087,I-75,I-75,276.4,73.1,3.68,9.59,12.02,-0.0049,10.0,-4.28,-8.56,0.672,carbonate,45698,22.0,10053,1.28,32.8,2,0,0,0,0.0,0.1617,Low
1088,I-75,I-75,280.5,65.1,3.67,8.52,11.57,0.0058,10.9,-1.11,-2.22,0.664,carbonate,45043,24.9,11215,0.33,33.6,2,0,0,0,0.0,0.1227,Low
1089,I-75,I-75,278.3,55.7,3.42,7.88,10.15,0.0033,10.9,-1.84,-3.68,0.696,carbonate,43980,21.5,9455,0.55,30.4,2,0,0,0,0.0,0.1214,Low
1090,I-75,I-75,281.6,42.5,2.75,5.95,8.71,-0.0039,10.3,-1.98,-3.96,0.663,carbonate,45769,27.4,12540,0.59,33.7,2,0,0,0,0.0,0.1241,Low
