segment_id,cluster,risk_category_unsup,risk_score_unsup,pca1,pca2
319,1,Low,0.4286,-1.9690801095275257,-1.6290518775494314
320,1,Low,0.4027,-1.3208574087800256,-2.291966892027339
321,1,Low,0.3973,-1.2476948110998831,-2.3153596407513537
322,1,Low,0.4188,-2.098983646523503,-1.4442620135405593
323,2,High,0.3568,-2.770212160253724,-0.9178468457898779
324,1,Low,0.3956,-2.5441039197536752,-1.1236228601370646
325,1,Low,0.3961,-1.2878092084829778,-2.2192554184037294
326,1,Low,0.3823,-0.9710842297241774,-2.5265868306353894
327,1,Low,0.4009,-1.0739157450637091,-2.182532131647421
328,1,Low,0.4052,-1.663708762787799,-2.1925873941911584
329,1,Low,0.4256,-1.7506749027968769,-1.6209334269177116
330,1,Low,0.4163,-1.4823186699814384,-1.8854568004254657
331,1,Low,0.3858,-1.1106616330025365,-2.675810398647786
332,1,Low,0.3765,-0.6710489830487985,-2.852206483457269
333,1,Low,0.3799,-0.6922526971510283,-2.792077734336898
334,1,Low,0.3742,-0.7331310143022185,-2.9139557979256185
335,1,Low,0.3824,-0.7144674610194908,-2.834426561277975
336,1,Low,0.3804,-0.775306430695686,-2.865345392907781
337,1,Low,0.4105,-1.9138107343032469,-1.5165099223531542
338,2,High,0.4831,-3.3051232308010334,-0.26115066729854786
339,2,High,0.5345,-4.703953923170869,1.2202512328046893
340,2,High,0.5442,-4.824924077871449,1.0773622374831462
341,2,High,0.5399,-4.905161796968103,0.8903870416559505
342,2,High,0.5698,-5.498029791529039,1.628919067620854
